,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
20,Matrincha Transm. de Energia (MTE),TECHNOS,SHELL/BG,V2i,ENERFLEX,,Matrincha Transm. de Energia (MTE),,GLOBO - CAFÉ ORFEU,,,,,COMMIT (GASPETRO),GRUPO SOMA,SOTREQ,BR MALLS,SOTREQ,GRUPO SOMA,SOTREQ,SHELL/BG,SHELL/BG,SHELL/BG,F,F,GGSH,GGSH,GGSH,SHELL/BG,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,SOTREQ,BR MALLS,EQUINOR,EQUINOR,GRUPO SOMA,GRUPO SOMA,SHELL/BG,COMMIT (GASPETRO),COMMIT (GASPETRO),SOTREQ,SOTREQ,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),F,F,PETROMAIS (Origem Energia)
21,,SILIMED,GLOBENET (VTAL),PROFARMA,SUPERMERCADO ZONA SUL,,CERAS JOHNSON,,,,,,,BR MALLS,COMMIT (GASPETRO),SHELL/BG,ALIANSCE,GLOBENET (VTAL),COMMIT (GASPETRO),SHELL/BG,GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),F,F,ALIANSCE,ALIANSCE,ALIANSCE,COMMIT (GASPETRO),SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,GLOBENET (VTAL),ALIANSCE,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),TOTAL,TOTAL,GLOBENET (VTAL),TOTAL,TOTAL,SHELL/BG,SHELL/BG,COCA COLA,COCA COLA,F,F,PROFARMA
22,,PORTO SUDESTE,GRUPO SOMA,D1000,CANAL DE ISABEL II (Emissão S.A.),,,,,,,,,GGSH,BR MALLS,GLOBENET (VTAL),EQUINOR,GRUPO SOMA,BR MALLS,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,COMMIT (GASPETRO),F,F,V2i,V2i,V2i,TOTAL,GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GRUPO SOMA,EQUINOR,EVOLTZ,EVOLTZ,BR MALLS,BR MALLS,GRUPO SOMA,GGSH,GGSH,GLOBENET (VTAL),GLOBENET (VTAL),PROFARMA,PROFARMA,F,F,CYMI 
23,,,COMMIT (GASPETRO),SAPURA,VINCI PARTNERS (FUNDOS),,,,,,,,,EQUINOR,GGSH,GRUPO SOMA,PEUGEOT CITROEN (BH),TOTAL,GGSH,COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),TOTAL,F,F,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),GGSH,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,TOTAL,PEUGEOT CITROEN (BH),PROFARMA,CATARATAS DO IGUAÇU,GGSH,GGSH,COMMIT (GASPETRO),ALIANSCE,ALIANSCE,GRUPO SOMA,GRUPO SOMA,CYMI ,CYMI ,F,F,D1000
24,,,PARANAÍBA (PTE),,PUIG O'NIQUE,,,,,,,,,V2i,EQUINOR,COMMIT (GASPETRO),EVOLTZ,BR MALLS,EQUINOR,BR MALLS,BR MALLS,TOTAL,GGSH,F,F,COCA COLA,COCA COLA,COCA COLA,ALIANSCE,COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),BR MALLS,EVOLTZ,OLX (Bom Negócio),TECHNOS,EQUINOR,EQUINOR,TOTAL,EQUINOR,EQUINOR,COMMIT (GASPETRO),COMMIT (GASPETRO),D1000,D1000,F,F,INSPIRA MUNDANÇA PART.
25,,,DESCOMPLICA,,AMOEDO,,,,,,,,,EVOLTZ,V2i,BR MALLS,PROFARMA,ALIANSCE,V2i,GGSH,GGSH,GGSH,ALIANSCE,F,F,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,V2i,GGSH,GGSH,TOTAL,TOTAL,TOTAL,TOTAL,ALIANSCE,PROFARMA,TECHNOS,SILIMED,V2i,V2i,GGSH,EVOLTZ,EVOLTZ,OLX (Bom Negócio),BR MALLS,INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,F,F,
26,,,,,ASPEN PHARMA,,,,,,,,,PROFARMA,PEUGEOT CITROEN (BH),EQUINOR,OLX (Bom Negócio),EQUINOR,PEUGEOT CITROEN (BH),EQUINOR,EQUINOR,ALIANSCE,V2i,F,F,CYMI ,CYMI ,CYMI ,PETROMAIS (Origem Energia),V2i,V2i,BR MALLS,BR MALLS,BR MALLS,BR MALLS,EQUINOR,OLX (Bom Negócio),D1000,CASA GRANADO,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),EQUINOR,PROFARMA,PROFARMA,GLOBO - EDITORA GLOBO S.A.,ALIANSCE,,,F,F,
27,,,,,,,,,,,,,,TECHNOS,EVOLTZ,PEUGEOT CITROEN (BH),TECHNOS,PEUGEOT CITROEN (BH),PETROMAIS (Origem Energia),V2i,V2i,V2i,PETROMAIS (Origem Energia),F,F,D1000,GLOBO - EDITORA GLOBO S.A.,GLOBO - EDITORA GLOBO S.A.,COCA COLA,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),GGSH,GGSH,ALIANSCE,ALIANSCE,PEUGEOT CITROEN (BH),TECHNOS,SILIMED,,EVOLTZ,EVOLTZ,PEUGEOT CITROEN (BH),TECHNOS,OLX (Bom Negócio),WSUT (Magalhanes Navegação),V2i,,,F,F,
28,,,,,,,,,,,,,,D1000,PROFARMA,EVOLTZ,SILIMED,EVOLTZ,EVOLTZ,PEUGEOT CITROEN (BH),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),COCA COLA,F,F,PORTO SUDESTE,D1000,D1000,CATARATAS DO IGUAÇU,COCA COLA,COCA COLA,ALIANSCE,ALIANSCE,EQUINOR,EQUINOR,EVOLTZ,D1000,PORTO SUDESTE,,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,TECHNOS,D1000,GLOBO - EDITORA GLOBO S.A.,MRO,PETROMAIS (Origem Energia),,,F,F,
29,,,,,,,,,,,,,,SILIMED,OLX (Bom Negócio),PROFARMA,ALMAVIVA,PROFARMA,PROFARMA,PETROMAIS (Origem Energia),GLOBO - EDITORA GLOBO S.A.,COCA COLA,CATARATAS DO IGUAÇU,F,F,INSPIRA MUNDANÇA PART.,CLUBE DE REGATAS DO FLAMENGO,CLUBE DE REGATAS DO FLAMENGO,CYMI ,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,EQUINOR,EQUINOR,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),PROFARMA,SILIMED,WSUT (Magalhanes Navegação),,TECHNOS,TECHNOS,D1000,SILIMED,PORTO SUDESTE,,COCA COLA,,,F,F,
