,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
32,,TECHNOS,GLOBENET (VTAL),V2i,CANAL DE ISABEL II (Emissão S.A.),,,,,,,,,COMMIT (GASPETRO),GRUPO SOMA,SHELL/BG,BR MALLS,GLOBENET (VTAL),GRUPO SOMA,SHELL/BG,GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),F,F,GGSH,GGSH,GGSH,COMMIT (GASPETRO),SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,GLOBENET (VTAL),BR MALLS,EQUINOR,EQUINOR,GRUPO SOMA,GRUPO SOMA,GLOBENET (VTAL),COMMIT (GASPETRO),COMMIT (GASPETRO),SHELL/BG,SHELL/BG,V2i,V2i,F,F,V2i
33,,SILIMED,GLOBENET (VTAL),V2i,VINCI PARTNERS (FUNDOS),,,,,,,,,BR MALLS,COMMIT (GASPETRO),SHELL/BG,BR MALLS,GLOBENET (VTAL),COMMIT (GASPETRO),SHELL/BG,GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),F,F,GGSH,GGSH,GGSH,COMMIT (GASPETRO),SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,SHELL/BG,GLOBENET (VTAL),BR MALLS,EQUINOR,EQUINOR,TOTAL,TOTAL,GLOBENET (VTAL),TOTAL,TOTAL,SHELL/BG,SHELL/BG,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),F,F,PETROMAIS (Origem Energia)
34,,PORTO SUDESTE,GRUPO SOMA,PROFARMA,PUIG O'NIQUE,,,,,,,,,BR MALLS,COMMIT (GASPETRO),GLOBENET (VTAL),ALIANSCE,GRUPO SOMA,COMMIT (GASPETRO),GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,COMMIT (GASPETRO),F,F,ALIANSCE,ALIANSCE,ALIANSCE,TOTAL,GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GRUPO SOMA,ALIANSCE,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),TOTAL,TOTAL,GRUPO SOMA,TOTAL,TOTAL,GLOBENET (VTAL),GLOBENET (VTAL),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),F,F,PETROMAIS (Origem Energia)
35,,,GRUPO SOMA,D1000,AMOEDO,,,,,,,,,GGSH,BR MALLS,GLOBENET (VTAL),ALIANSCE,GRUPO SOMA,BR MALLS,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,COMMIT (GASPETRO),F,F,ALIANSCE,ALIANSCE,ALIANSCE,TOTAL,GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GLOBENET (VTAL),GRUPO SOMA,ALIANSCE,PEUGEOT CITROEN (BH),PEUGEOT CITROEN (BH),BR MALLS,BR MALLS,GRUPO SOMA,GGSH,GGSH,GLOBENET (VTAL),GLOBENET (VTAL),COCA COLA,COCA COLA,F,F,PROFARMA
36,,,COMMIT (GASPETRO),SAPURA,ASPEN PHARMA,,,,,,,,,GGSH,BR MALLS,GRUPO SOMA,EQUINOR,TOTAL,BR MALLS,COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),TOTAL,F,F,V2i,V2i,V2i,GGSH,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,TOTAL,EQUINOR,EVOLTZ,EVOLTZ,BR MALLS,BR MALLS,COMMIT (GASPETRO),GGSH,GGSH,GRUPO SOMA,GRUPO SOMA,PROFARMA,PROFARMA,F,F,CYMI 
37,,,COMMIT (GASPETRO),,,,,,,,,,,EQUINOR,GGSH,GRUPO SOMA,EQUINOR,TOTAL,GGSH,COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),TOTAL,F,F,V2i,V2i,V2i,GGSH,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,GRUPO SOMA,TOTAL,EQUINOR,PROFARMA,CATARATAS DO IGUAÇU,GGSH,GGSH,COMMIT (GASPETRO),ALIANSCE,ALIANSCE,GRUPO SOMA,GRUPO SOMA,CYMI ,CYMI ,F,F,D1000
38,,,PARANAÍBA (PTE),,,,,,,,,,,EQUINOR,GGSH,COMMIT (GASPETRO),PEUGEOT CITROEN (BH),BR MALLS,GGSH,BR MALLS,BR MALLS,TOTAL,GGSH,F,F,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),ALIANSCE,COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),BR MALLS,PEUGEOT CITROEN (BH),OLX (Bom Negócio),TECHNOS,GGSH,GGSH,TOTAL,ALIANSCE,ALIANSCE,COMMIT (GASPETRO),COMMIT (GASPETRO),D1000,D1000,F,F,INSPIRA MUNDANÇA PART.
39,,,DESCOMPLICA,,,,,,,,,,,V2i,EQUINOR,COMMIT (GASPETRO),PEUGEOT CITROEN (BH),BR MALLS,EQUINOR,BR MALLS,BR MALLS,TOTAL,GGSH,F,F,PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),PETROMAIS (Origem Energia),ALIANSCE,COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),COMMIT (GASPETRO),BR MALLS,PEUGEOT CITROEN (BH),TECHNOS,SILIMED,EQUINOR,EQUINOR,TOTAL,EQUINOR,EQUINOR,COMMIT (GASPETRO),COMMIT (GASPETRO),INSPIRA MUNDANÇA PART.,INSPIRA MUNDANÇA PART.,F,F,
40,,,,,,,,,,,,,,V2i,EQUINOR,BR MALLS,EVOLTZ,ALIANSCE,EQUINOR,GGSH,GGSH,GGSH,ALIANSCE,F,F,COCA COLA,COCA COLA,COCA COLA,V2i,GGSH,GGSH,TOTAL,TOTAL,TOTAL,TOTAL,ALIANSCE,EVOLTZ,D1000,CASA GRANADO,EQUINOR,EQUINOR,GGSH,EQUINOR,EQUINOR,OLX (Bom Negócio),BR MALLS,,,F,F,
41,,,,,,,,,,,,,,EVOLTZ,V2i,BR MALLS,PROFARMA,ALIANSCE,V2i,GGSH,GGSH,GGSH,ALIANSCE,F,F,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,CATARATAS DO IGUAÇU,V2i,GGSH,GGSH,TOTAL,TOTAL,TOTAL,TOTAL,ALIANSCE,PROFARMA,SILIMED,,V2i,V2i,GGSH,EVOLTZ,EVOLTZ,GLOBO - EDITORA GLOBO S.A.,BR MALLS,,,F,F,
