,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
20,,,,,,,,,,,,,,,CASA GRANADO,KATRIUM,SERTANEJA,KATRIUM,MRO,ENERFLEX,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,MRO,INSPIRA MUNDANÇA PART.,F,F,DIMENSIONAL (Benfour),MRO,MRO,DELLY COSMETICOS,MRO,MRO,CYMI ,NATIONAL OIL,SILIMED,SILIMED,WSUT (Magalhanes Navegação),KATRIUM,KATRIUM,,,,,,,,,,,F,F,
21,,,,,,,,,,,,,,,SAPURA,OCEÂNICA ENGENHARIA,LABORATORIES SERVIER,OCEÂNICA ENGENHARIA,KATRIUM,TAG,AET STS,SAPURA,SAPURA,F,F,BOLT Energia,SAPURA,DELLY COSMETICOS,ENERFLEX,DELLY COSMETICOS,SAPURA,INSPIRA MUNDANÇA PART.,FAZENDA AGRO SB (Opportunity),PORTO SUDESTE,PORTO SUDESTE,CASA GRANADO,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,,,,,,,,,,,F,F,
22,,,,,,,,,,,,,,,OCEÂNICA ENGENHARIA,SERTANEJA,CHANNEL (EUROPRESTIGIO),TAG,DELLY COSMETICOS,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,TELEPAZIO BRASIL (Leonardo),DELLY COSMETICOS,NATIONAL OIL,F,F,GALP,DELLY COSMETICOS,NATIONAL OIL,Reichhold do Brasil (Polyint Group),ENERFLEX,DELLY COSMETICOS,SAPURA,SERTANEJA,WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),KATRIUM,TAG,TAG,,,,,,,,,,,F,F,
23,,,,,,,,,,,,,,,SERTANEJA,LABORATORIES SERVIER,SONANGOL STARFISH,FUNDOS BBI Fin Health - Investidas,ENERFLEX,FUNDOS BBI Fin Health - Investidas,H. STTRATNER,ENERFLEX,FAZENDA AGRO SB (Opportunity),F,F,ITAGUAI (ICN),NATIONAL OIL,ENERFLEX,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,Reichhold do Brasil (Polyint Group),NATIONAL OIL,NATIONAL OIL,LABORATORIES SERVIER,CASA GRANADO,CASA GRANADO,OCEÂNICA ENGENHARIA,FUNDOS BBI Fin Health - Investidas,FUNDOS BBI Fin Health - Investidas,,,,,,,,,,,F,F,
24,,,,,,,,,,,,,,,LABORATORIES SERVIER,CHANNEL (EUROPRESTIGIO),CNOOC,AXXON (BR MARINAS),TAG,AET STS,COMSHELL SOC PREV. PRIVADA,FAZENDA AGRO SB (Opportunity),DIMENSIONAL (Benfour),F,F,ECOPETROL,ENERFLEX,Reichhold do Brasil (Polyint Group),DIMENSIONAL (Benfour),MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,ENERFLEX,FAZENDA AGRO SB (Opportunity),CHANNEL (EUROPRESTIGIO),SAPURA,SAPURA,TAG,AXXON (BR MARINAS),AXXON (BR MARINAS),,,,,,,,,,,F,F,
25,,,,,,,,,,,,,,,CHANNEL (EUROPRESTIGIO),SONANGOL STARFISH,UNIVERSAL MUSICAL,GLOBO - FAMILY OFFICE,FUNDOS BBI Fin Health - Investidas,AXXON (BR MARINAS),OCEANEERING,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,BOLT Energia,F,F,FERNANDES ARAÚJO,FAZENDA AGRO SB (Opportunity),FUGRO,FUGRO,DIMENSIONAL (Benfour),FAZENDA AGRO SB (Opportunity),Reichhold do Brasil (Polyint Group),SONANGOL STARFISH,KATRIUM,KATRIUM,FUNDOS BBI Fin Health - Investidas,GLOBO - FAMILY OFFICE,GLOBO - FAMILY OFFICE,,,,,,,,,,,F,F,
26,,,,,,,,,,,,,,,SONANGOL STARFISH,CNOOC,DILETTO (Sardinia Investimentos),BIOMERIEUX,AXXON (BR MARINAS),TELEPAZIO BRASIL (Leonardo),GEFCO,AET STS,GALP,F,F,DINACO,Reichhold do Brasil (Polyint Group),FCC,AET STS,FUGRO,Reichhold do Brasil (Polyint Group),SERTANEJA,CNOOC,NATIONAL OIL,NATIONAL OIL,AXXON (BR MARINAS),BIOMERIEUX,BIOMERIEUX,,,,,,,,,,,F,F,
27,,,,,,,,,,,,,,,CNOOC,NEW WAVE,TULIP CAMPOS HOTELARIA,UNIVERSAL MUSICAL,GLOBO - FAMILY OFFICE,GLOBO - FAMILY OFFICE,AXXON (RHMED),TELEPAZIO BRASIL (Leonardo),ITAGUAI (ICN),F,F,QV SAUDE,DIMENSIONAL (Benfour),GEOPARK,BOLT Energia,AET STS,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,FUGRO,NEW WAVE,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,GLOBO - FAMILY OFFICE,UNIVERSAL MUSICAL,UNIVERSAL MUSICAL,,,,,,,,,,,F,F,
28,,,,,,,,,,,,,,,NEW WAVE,GLOBO - ED. GLOBO COND NAST,OMPI DO BRASIL ,MANUCHAR,BIOMERIEUX,H. STTRATNER,SuaTV e Influency.me,H. STTRATNER,ECOPETROL,F,F,"CLARKE, MODET Y CIA. S.L. BRASIL",FUGRO,JOTUN IND. TINTAS,FCC,BOLT Energia,DIMENSIONAL (Benfour),LABORATORIES SERVIER,GLOBO - ED. GLOBO COND NAST,FAZENDA AGRO SB (Opportunity),FAZENDA AGRO SB (Opportunity),BIOMERIEUX,DILETTO (Sardinia Investimentos),DILETTO (Sardinia Investimentos),,,,,,,,,,,F,F,
29,,,,,,,,,,,,,,,GLOBO - ED. GLOBO COND NAST,Orthopride (PRKS),STEAG,DILETTO (Sardinia Investimentos),MANUCHAR,OCEANEERING,UFI Filter,COMSHELL SOC PREV. PRIVADA,FERNANDES ARAÚJO,F,F,QUANTUM,BOLT Energia,GRUPO COMPONENTES (Opportunity) - Eletron,TELEPAZIO BRASIL (Leonardo),FCC,FUGRO,FCC,Orthopride (PRKS),SERTANEJA,TULIP CAMPOS HOTELARIA,UNIVERSAL MUSICAL,KOMPASS ENERGIA,KOMPASS ENERGIA,,,,,,,,,,,F,F,
30,,,,,,,,,,,,,,,Orthopride (PRKS),TULIP CAMPOS HOTELARIA,FUNDO PATRIMONIAL RJZ,GME AEROSPACE,GME AEROSPACE,AXXON (RHMED),CONFIANCE MEDICAL,GEFCO,DINACO,F,F,GLOBO - AERO RIO,FCC,Guaraciaba Transmissora de Energia,GALP,TELEPAZIO BRASIL (Leonardo),AET STS,CHANNEL (EUROPRESTIGIO),EVER BRASIL ,LABORATORIES SERVIER,OMPI DO BRASIL ,DILETTO (Sardinia Investimentos),PETRO CHINA,PETRO CHINA,,,,,,,,,,,F,F,
