empresa;prioridade;grupo;possui trimestral;deadline;horas;senior;staff 3;staff 2;trainee;fase_planejamento;fase_interim;fase_final;fase_trimestral
UFI Filter;141;11;No;Mar;280;0;1;1;1;0;1;3;0
QUANTUM;142;11;No;Mar;400;0;1;1;1;0;1;3;0
MARLIN AZUL;143;11;No;Fev;320;0;1;1;1;0;1;3;0
GREEN OIL;144;11;No;Mar;320;0;1;1;1;0;1;3;0
FUNDO PATRIMONIAL RJZ;145;11;No;Abr;280;0;1;1;1;0;1;3;0
INSTITUTO DA CRIANÇA;146;11;No;Mai;280;0;1;1;1;0;1;3;0
CONFIANCE MEDICAL;147;11;No;Mar;280;0;1;1;1;0;1;3;0
GLOBO - AERO RIO;148;11;No;Fev;264;0;1;1;1;0;1;3;0
FAZENDA FUTURO;149;11;No;Mai;253;0;1;1;1;0;1;3;0
VITOL;150;11;No;Abr;248;0;1;1;1;0;1;3;0
NAVAL GROUP;151;11;No;Mar;240;0;1;1;1;0;1;3;0
Geogas;152;11;No;Mai;270;0;1;1;1;0;1;3;0
ARAGUAIA/DESIDERATA;153;11;No;Abr;224;0;1;1;1;0;1;3;0
CALEFFI BRASIL AUP;154;11;No;Fev;200;0;1;1;1;0;1;3;0
Planeta / DeAgostini;155;11;No;Mar;200;0;1;1;1;0;1;3;0
TI LATAM AUP;156;11;No;Abr;200;0;1;1;1;0;1;3;0
ALLSEAS;157;11;No;Jun;160;0;1;1;1;0;1;3;0
COCA COLA INSTITUTO;158;11;No;Abr;50;0;1;1;1;0;1;3;0
