,equipe,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
86,trainee_86,,,,,,,,,,,,MINERACAO MORRO DO IPE (MMI),MINERACAO MORRO DO IPE (MMI),,,,,,,,,,MINERACAO MORRO DO IPE (MMI),F,F,MINERACAO MORRO DO IPE (MMI),MINERACAO MORRO DO IPE (MMI),,,,,MINERACAO MORRO DO IPE (MMI),MINERACAO MORRO DO IPE (MMI),MINERACAO MORRO DO IPE (MMI),,,,,,,,,,,,,,,F,F,
87,trainee_87,,,,,,CAMORIM,CAMORIM,,,,,,,,,CAMORIM,CAMORIM,CAMORIM,,,,,,F,F,,,,,,,,,,,CAMORIM,CAMORIM,CAMORIM,,,,,,,,,,,F,F,
88,trainee_88,,,,,,,,SISTAC,SISTAC,,,,,,,,,,,SISTAC,SISTAC,SISTAC,,F,F,,,,SISTAC,SISTAC,SISTAC,,,,,,,,,,,,,,,,,,F,F,
89,trainee_89,,,,,,,,,,DISTRIBUIDORA RECORD,DISTRIBUIDORA RECORD,,,,,,,,,,,,DISTRIBUIDORA RECORD,F,F,DISTRIBUIDORA RECORD,DISTRIBUIDORA RECORD,,DISTRIBUIDORA RECORD,DISTRIBUIDORA RECORD,DISTRIBUIDORA RECORD,,,,,,,,,,,,,,,,,,F,F,
90,trainee_90,,,,,,,,,,,,MR. CAT (Grumari),MR. CAT (Grumari),,MR. CAT (Grumari),MR. CAT (Grumari),MR. CAT (Grumari),,,,,,,F,F,,,,MR. CAT (Grumari),MR. CAT (Grumari),MR. CAT (Grumari),,,,,,,,,,,,,,,,,,F,F,
91,trainee_91,Matrincha Transm. de Energia (MTE),,,,,Matrincha Transm. de Energia (MTE),Matrincha Transm. de Energia (MTE),,,,,,,Matrincha Transm. de Energia (MTE),,,,,,Matrincha Transm. de Energia (MTE),Matrincha Transm. de Energia (MTE),Matrincha Transm. de Energia (MTE),,F,F,,,,Matrincha Transm. de Energia (MTE),Matrincha Transm. de Energia (MTE),Matrincha Transm. de Energia (MTE),,,,,,,,,,Matrincha Transm. de Energia (MTE),,,,,,,,F,F,
92,trainee_92,,,DESCOMPLICA,,,,,DESCOMPLICA,DESCOMPLICA,,,,,DESCOMPLICA,,,,,,,,,DESCOMPLICA,F,F,DESCOMPLICA,DESCOMPLICA,,DESCOMPLICA,DESCOMPLICA,DESCOMPLICA,,,,,,,,,,,DESCOMPLICA,,,,,,,F,F,
93,trainee_93,,,,,,,,,,CORPSERVICES,CORPSERVICES,,,,CORPSERVICES,CORPSERVICES,CORPSERVICES,,,,,,,F,F,,,,CORPSERVICES,CORPSERVICES,CORPSERVICES,,,,,,,,,,,,,,,,,,F,F,
94,trainee_94,,,,,,,,,,,,GLOBO - RADIOS,GLOBO - RADIOS,,,,,GLOBO - RADIOS,GLOBO - RADIOS,GLOBO - RADIOS,,,,F,F,,,,GLOBO - RADIOS,GLOBO - RADIOS,GLOBO - RADIOS,,,,,,,,,,,,,,,,,,F,F,
95,trainee_95,,,,,,CERAS JOHNSON,CERAS JOHNSON,,,,,,,,,,,,,CERAS JOHNSON,CERAS JOHNSON,CERAS JOHNSON,,F,F,,,,CERAS JOHNSON,CERAS JOHNSON,CERAS JOHNSON,,,,,,,,,,,,,,,,,,F,F,
96,trainee_96,,,,,,,,GLOBO - CAFÉ ORFEU,GLOBO - CAFÉ ORFEU,,,,,,,,,,,,,,GLOBO - CAFÉ ORFEU,F,F,GLOBO - CAFÉ ORFEU,GLOBO - CAFÉ ORFEU,,GLOBO - CAFÉ ORFEU,GLOBO - CAFÉ ORFEU,GLOBO - CAFÉ ORFEU,,,,,,,,,,,,,,,,,,F,F,
97,trainee_97,,,,,,,,,,Reichhold do Brasil (Polyint Group),,,,,,,,,,,,,,F,F,,Reichhold do Brasil (Polyint Group),Reichhold do Brasil (Polyint Group),Reichhold do Brasil (Polyint Group),Reichhold do Brasil (Polyint Group),Reichhold do Brasil (Polyint Group),Reichhold do Brasil (Polyint Group),,,,,,,,,,,,,,,,,F,F,
98,trainee_98,,,,,,,,,,,,SERTANEJA,,,SERTANEJA,SERTANEJA,SERTANEJA,,,,,,,F,F,,,,,,,SERTANEJA,SERTANEJA,SERTANEJA,,,,,,,,,,,,,,,F,F,
99,trainee_99,,,,,,,,,,,,,TAG,,,,,TAG,TAG,TAG,,,,F,F,,,,,,,,,,,TAG,TAG,TAG,,,,,,,,,,,F,F,
