,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
70,,,,,,,,,,,,,,,FUNDOS BBI Fin Health - Investidas,FUNDOS BBI Fin Health - Investidas,FUNDOS BBI Fin Health - Investidas,FUGRO,GLOBO - RADIOS,FUNDOS BBI Fin Health - Investidas,TAG,AET STS,DESCOMPLICA,F,F,Matrincha Transm. de Energia (MTE),AET STS,CREB,CORPSERVICES,LABORATORIES SERVIER,BOLT Energia,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,DIMENSIONAL (Benfour),MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,ONS,FUNDOS BBI Fin Health - Investidas,FUNDOS BBI Fin Health - Investidas,GALP,,,,,,,,,,,F,F,
71,,,,,,,,,,,,,,,BOLT Energia,BOLT Energia,BOLT Energia,FCC,Reichhold do Brasil (Polyint Group),FCC,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,CHANNEL (EUROPRESTIGIO),CERAS JOHNSON,F,F,CORPSERVICES,CHANNEL (EUROPRESTIGIO),MINERACAO MORRO DO IPE (MMI),GLOBO - CAFÉ ORFEU,BOLT Energia,AXXON (BR MARINAS),DIMENSIONAL (Benfour),LABORATORIES SERVIER,DIMENSIONAL (Benfour),TELEPAZIO BRASIL (Leonardo),FCC,FCC,GLOBO - FAMILY OFFICE,,,,,,,,,,,F,F,
72,,,,,,,,,,,,,,,AXXON (BR MARINAS),FCC,FCC,TELEPAZIO BRASIL (Leonardo),TAG,TELEPAZIO BRASIL (Leonardo),FUGRO,GALP,Reichhold do Brasil (Polyint Group),F,F,CERAS JOHNSON,GALP,SISTAC,SERTANEJA,AXXON (BR MARINAS),GEOPARK,LABORATORIES SERVIER,AET STS,LABORATORIES SERVIER,SONANGOL STARFISH,TELEPAZIO BRASIL (Leonardo),GALP,JOTUN IND. TINTAS,,,,,,,,,,,F,F,
73,,,,,,,,,,,,,,,GEOPARK,AXXON (BR MARINAS),AXXON (BR MARINAS),SONANGOL STARFISH,FUGRO,SONANGOL STARFISH,FUNDOS BBI Fin Health - Investidas,GLOBO - FAMILY OFFICE,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,F,F,SERTANEJA,GLOBO - FAMILY OFFICE,Matrincha Transm. de Energia (MTE),DIMENSIONAL (Benfour),GEOPARK,H. STTRATNER,AET STS,BOLT Energia,AET STS,ITAGUAI (ICN),GALP,GLOBO - FAMILY OFFICE,OMPI DO BRASIL ,,,,,,,,,,,F,F,
74,,,,,,,,,,,,,,,H. STTRATNER,TELEPAZIO BRASIL (Leonardo),TELEPAZIO BRASIL (Leonardo),ITAGUAI (ICN),FUNDOS BBI Fin Health - Investidas,ITAGUAI (ICN),AET STS,JOTUN IND. TINTAS,FUGRO,F,F,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,JOTUN IND. TINTAS,CORPSERVICES,LABORATORIES SERVIER,H. STTRATNER,CNOOC,BOLT Energia,CHANNEL (EUROPRESTIGIO),BOLT Energia,EVER BRASIL ,SONANGOL STARFISH,JOTUN IND. TINTAS,HI MIDIA,,,,,,,,,,,F,F,
75,,,,,,,,,,,,,,,CNOOC,GEOPARK,GEOPARK,EVER BRASIL ,FCC,EVER BRASIL ,FCC,OMPI DO BRASIL ,AET STS,F,F,LABORATORIES SERVIER,QV SAUDE,CERAS JOHNSON,BOLT Energia,CNOOC,ESSECO DO BRASIL,CHANNEL (EUROPRESTIGIO),AXXON (BR MARINAS),CHANNEL (EUROPRESTIGIO),"CLARKE, MODET Y CIA. S.L. BRASIL",GLOBO - FAMILY OFFICE,OMPI DO BRASIL ,UFI Filter,,,,,,,,,,,F,F,
76,,,,,,,,,,,,,,,ESSECO DO BRASIL,SONANGOL STARFISH,SONANGOL STARFISH,"CLARKE, MODET Y CIA. S.L. BRASIL",TELEPAZIO BRASIL (Leonardo),"CLARKE, MODET Y CIA. S.L. BRASIL",CHANNEL (EUROPRESTIGIO),HI MIDIA,CHANNEL (EUROPRESTIGIO),F,F,AET STS,OMPI DO BRASIL ,SERTANEJA,AXXON (BR MARINAS),PETRO CHINA,SuaTV e Influency.me,AXXON (BR MARINAS),GEOPARK,AXXON (BR MARINAS),Fundação Euclides da Cunha,ITAGUAI (ICN),HI MIDIA,FUNDO PATRIMONIAL RJZ,,,,,,,,,,,F,F,
77,,,,,,,,,,,,,,,SuaTV e Influency.me,H. STTRATNER,H. STTRATNER,Fundação Euclides da Cunha,SONANGOL STARFISH,Fundação Euclides da Cunha,TELEPAZIO BRASIL (Leonardo),UFI Filter,GALP,F,F,CHANNEL (EUROPRESTIGIO),HI MIDIA,MARINE PRODUCTION SYSTEM DO BRASIL LTDA. ,GEOPARK,ARCHER,STEAG,GEOPARK,H. STTRATNER,TELEPAZIO BRASIL (Leonardo),GREEN OIL,JOTUN IND. TINTAS,UFI Filter,FAZENDA FUTURO,,,,,,,,,,,F,F,
78,,,,,,,,,,,,,,,STEAG,ITAGUAI (ICN),ITAGUAI (ICN),GREEN OIL,ITAGUAI (ICN),GREEN OIL,GALP,FUNDO PATRIMONIAL RJZ,GLOBO - FAMILY OFFICE,F,F,GALP,UFI Filter,LABORATORIES SERVIER,H. STTRATNER,QUANTUM,MARLIN AZUL,H. STTRATNER,CNOOC,GEOPARK,GLOBO - AERO RIO,EVER BRASIL ,FUNDO PATRIMONIAL RJZ,ALLSEAS,,,,,,,,,,,F,F,
79,,,,,,,,,,,,,,,MARLIN AZUL,CNOOC,CNOOC,FAZENDA FUTURO,VITOL,VITOL,SONANGOL STARFISH,NAVAL GROUP,JOTUN IND. TINTAS,F,F,GLOBO - FAMILY OFFICE,INSTITUTO DA CRIANÇA,AET STS,CNOOC,CONFIANCE MEDICAL,CONFIANCE MEDICAL,CNOOC,QV SAUDE,SONANGOL STARFISH,TI LATAM AUP,OMPI DO BRASIL ,FAZENDA FUTURO,,,,,,,,,,,,F,F,
