priority,client,nome_retain,renocao_prevista,fy24_total_hours,horas_demanda,trimestral,senior,staff3,staff2,trainee,horas_locadas,01-07-2023,08-07-2023,15-07-2023,22-07-2023,29-07-2023,05-08-2023,12-08-2023,19-08-2023,26-08-2023,02-09-2023,09-09-2023,16-09-2023,23-09-2023,30-09-2023,07-10-2023,14-10-2023,21-10-2023,28-10-2023,04-11-2023,11-11-2023,18-11-2023,25-11-2023,02-12-2023,09-12-2023,16-12-2023,23-12-2023,30-12-2023,06-01-2024,13-01-2024,20-01-2024,27-01-2024,03-02-2024,10-02-2024,17-02-2024,24-02-2024,02-03-2024,09-03-2024,16-03-2024,23-03-2024,30-03-2024,06-04-2024,13-04-2024,20-04-2024,27-04-2024,04-05-2024,11-05-2024,18-05-2024,25-05-2024,01-06-2024,08-06-2024,15-06-2024,22-06-2024
6,INSPIRA MUNDANÇA PART.,INSPIRA, Yes ,3000,2360,No,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
6,CASA GRANADO,GRANADO, Yes ,3000,2250,No,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
6,MRO,MRO, Yes ,3000,2200,No,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
6,SAPURA,SAPURA, Yes ,2800,1700,Yes,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
6,KATRIUM,QDA/KATRIUM, Yes ,2800,1666,No,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
6,DELLY COSMETICOS,DELLY, Yes ,2600,1950,No,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
6,NATIONAL OIL,NOV, Yes ,2600,2000,No,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
6,OCEÂNICA ENGENHARIA,OCEANICA, Yes ,2544,1400,No,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
6,ENERFLEX,ENERFLEX, Yes ,2500,2000,No,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
6,FAZENDA AGRO SB (Opportunity),AGRO, Yes ,2500,1200,No,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
7,BRAMEX,BRAMEX, Yes ,2371,1194,No,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
7,PETRONAS,PETRONAS, Yes ,2300,1300,Yes,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
7,SUPERMERCADO ZONA SUL,ZONA SUL, Yes ,2300,1360,No,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
7,PARANAÍBA (PTE),MTE, Yes ,2300,1725,Yes,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
7,LIBRA TERMINAL PORTUARIO (ICTSI),ICTSI, Yes ,2200,1650,No,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,,,,,,,,,,,,,,,,F,F,F,F
