,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
62,,,,,,,,,,,,,,ALMAVIVA,SILIMED,GLOBO - EDITORA GLOBO S.A.,WSUT (Magalhanes Navegação),PORTO SUDESTE,PORTO SUDESTE,CLUBE DE REGATAS DO FLAMENGO,D1000,INSPIRA MUNDANÇA PART.,PORTO SUDESTE,F,F,D1000,ALMAVIVA,ALMAVIVA,PORTO SUDESTE,WSUT (Magalhanes Navegação),CASA GRANADO,PORTO SUDESTE,WSUT (Magalhanes Navegação),SILIMED,CASA GRANADO,CASA GRANADO,CASA GRANADO,OCEÂNICA ENGENHARIA,,PARANAÍBA (PTE),BRAMEX,PARANAÍBA (PTE),LIBRA TERMINAL PORTUARIO (ICTSI),DOMINOS (DP Brasil Participações),,DGPAR (ALL CARE),,,F,F,
63,,,,,,,,,,,,,,WSUT (Magalhanes Navegação),CLUBE DE REGATAS DO FLAMENGO,D1000,INSPIRA MUNDANÇA PART.,WSUT (Magalhanes Navegação),ALMAVIVA,PORTO SUDESTE,CLUBE DE REGATAS DO FLAMENGO,MRO,ALMAVIVA,F,F,SILIMED,WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),WSUT (Magalhanes Navegação),INSPIRA MUNDANÇA PART.,SAPURA,WSUT (Magalhanes Navegação),INSPIRA MUNDANÇA PART.,CLUBE DE REGATAS DO FLAMENGO,MRO,MRO,MRO,FAZENDA AGRO SB (Opportunity),,CANAL DE ISABEL II (Emissão S.A.),PARANAÍBA (PTE),TEEKAY,VINCI PARTNERS (FUNDOS),VINCI PARTNERS (FUNDOS),,ASPEN PHARMA,,,F,F,
64,,,,,,,,,,,,,,CASA GRANADO,ALMAVIVA,CLUBE DE REGATAS DO FLAMENGO,MRO,INSPIRA MUNDANÇA PART.,WSUT (Magalhanes Navegação),ALMAVIVA,PORTO SUDESTE,KATRIUM,WSUT (Magalhanes Navegação),F,F,CLUBE DE REGATAS DO FLAMENGO,CASA GRANADO,CASA GRANADO,CASA GRANADO,CASA GRANADO,DELLY COSMETICOS,INSPIRA MUNDANÇA PART.,CASA GRANADO,ALMAVIVA,KATRIUM,KATRIUM,KATRIUM,PETRONAS,,EDISON CHOUEST (BRAM) ,CANAL DE ISABEL II (Emissão S.A.),DOMINOS (DP Brasil Participações),BUREAU VERITAS,BARCELOS,,VERDE AMBIENTAL,,,F,F,
65,,,,,,,,,,,,,,MRO,CASA GRANADO,PORTO SUDESTE,SAPURA,MRO,MRO,WSUT (Magalhanes Navegação),ALMAVIVA,DELLY COSMETICOS,INSPIRA MUNDANÇA PART.,F,F,PORTO SUDESTE,SAPURA,SAPURA,SAPURA,SAPURA,NATIONAL OIL,CASA GRANADO,SAPURA,INSPIRA MUNDANÇA PART.,NATIONAL OIL,NATIONAL OIL,NATIONAL OIL,SUPERMERCADO ZONA SUL,,FARSTAD SHIPPING,FARSTAD SHIPPING,FARSTAD SHIPPING,BARCELOS,S2,,FUNBIO,,,F,F,
66,,,,,,,,,,,,,,KATRIUM,MRO,MRO,DELLY COSMETICOS,SAPURA,SAPURA,INSPIRA MUNDANÇA PART.,WSUT (Magalhanes Navegação),OCEÂNICA ENGENHARIA,MRO,F,F,ALMAVIVA,KATRIUM,KATRIUM,KATRIUM,DELLY COSMETICOS,ENERFLEX,SAPURA,DELLY COSMETICOS,CASA GRANADO,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,LIBRA TERMINAL PORTUARIO (ICTSI),,BUREAU VERITAS,BUREAU VERITAS,BEMISA (Opportunity),MAN DIESEL & TURBO,CONEXA SAÚDE,,DISTRIBUIDORA RECORD,,,F,F,
67,,,,,,,,,,,,,,DELLY COSMETICOS,SAPURA,SAPURA,NATIONAL OIL,DELLY COSMETICOS,DELLY COSMETICOS,MRO,INSPIRA MUNDANÇA PART.,FAZENDA AGRO SB (Opportunity),SAPURA,F,F,WSUT (Magalhanes Navegação),NATIONAL OIL,NATIONAL OIL,DELLY COSMETICOS,NATIONAL OIL,BRAMEX,DELLY COSMETICOS,NATIONAL OIL,MRO,FAZENDA AGRO SB (Opportunity),FAZENDA AGRO SB (Opportunity),FAZENDA AGRO SB (Opportunity),CANAL DE ISABEL II (Emissão S.A.),,S2,S2,PUIG O'NIQUE,DGPAR (ALL CARE),DGPAR (ALL CARE),,CORPSERVICES,,,F,F,
68,,,,,,,,,,,,,,OCEÂNICA ENGENHARIA,KATRIUM,DELLY COSMETICOS,OCEÂNICA ENGENHARIA,NATIONAL OIL,OCEÂNICA ENGENHARIA,SAPURA,MRO,BRAMEX,KATRIUM,F,F,CASA GRANADO,ENERFLEX,ENERFLEX,NATIONAL OIL,ENERFLEX,PETRONAS,NATIONAL OIL,ENERFLEX,KATRIUM,BRAMEX,PETRONAS,PETRONAS,EDISON CHOUEST (BRAM) ,,AMOEDO,AMOEDO,CONEXA SAÚDE,ASPEN PHARMA,ASPEN PHARMA,,,,,F,F,
69,,,,,,,,,,,,,,ENERFLEX,DELLY COSMETICOS,OCEÂNICA ENGENHARIA,ENERFLEX,OCEÂNICA ENGENHARIA,ENERFLEX,KATRIUM,KATRIUM,SUPERMERCADO ZONA SUL,DELLY COSMETICOS,F,F,MRO,FAZENDA AGRO SB (Opportunity),FAZENDA AGRO SB (Opportunity),ENERFLEX,BRAMEX,PARANAÍBA (PTE),ENERFLEX,BRAMEX,NATIONAL OIL,PETRONAS,SUPERMERCADO ZONA SUL,SUPERMERCADO ZONA SUL,FARSTAD SHIPPING,,Zeedog,SUBSEA 7,AMOEDO,VERDE AMBIENTAL,ALL NATIONS,,,,,F,F,
70,,,,,,,,,,,,,,FAZENDA AGRO SB (Opportunity),OCEÂNICA ENGENHARIA,ENERFLEX,PETRONAS,ENERFLEX,FAZENDA AGRO SB (Opportunity),DELLY COSMETICOS,DELLY COSMETICOS,PARANAÍBA (PTE),OCEÂNICA ENGENHARIA,F,F,SAPURA,PETRONAS,BRAMEX,BRAMEX,PETRONAS,TEEKAY,BRAMEX,PETRONAS,OCEÂNICA ENGENHARIA,SUPERMERCADO ZONA SUL,LIBRA TERMINAL PORTUARIO (ICTSI),LIBRA TERMINAL PORTUARIO (ICTSI),BEMISA (Opportunity),,SUBSEA 7,ONS,SUBSEA 7,MINERACAO MORRO DO IPE (MMI),CAMORIM,,,,,F,F,
71,,,,,,,,,,,,,,PETRONAS,ENERFLEX,BRAMEX,SUPERMERCADO ZONA SUL,SUPERMERCADO ZONA SUL,SUPERMERCADO ZONA SUL,OCEÂNICA ENGENHARIA,OCEÂNICA ENGENHARIA,CANAL DE ISABEL II (Emissão S.A.),ENERFLEX,F,F,KATRIUM,PARANAÍBA (PTE),PETRONAS,PETRONAS,PARANAÍBA (PTE),DOMINOS (DP Brasil Participações),PETRONAS,PARANAÍBA (PTE),FAZENDA AGRO SB (Opportunity),PARANAÍBA (PTE),CANAL DE ISABEL II (Emissão S.A.),CANAL DE ISABEL II (Emissão S.A.),BARCELOS,,ROCK CITY S.A.,CREB,ROCK CITY S.A.,MR. CAT (Grumari),Matrincha Transm. de Energia (MTE),,,,,F,F,
