,2023-07-15,2023-07-22,2023-07-29,2023-08-05,2023-08-12,2023-08-19,2023-08-26,2023-09-02,2023-09-09,2023-09-16,2023-09-23,2023-09-30,2023-10-07,2023-10-14,2023-10-21,2023-10-28,2023-11-04,2023-11-11,2023-11-18,2023-11-25,2023-12-02,2023-12-09,2023-12-16,2023-12-23,2023-12-30,2024-01-06,2024-01-13,2024-01-20,2024-01-27,2024-02-03,2024-02-10,2024-02-17,2024-02-24,2024-03-02,2024-03-09,2024-03-16,2024-03-23,2024-03-30,2024-04-06,2024-04-13,2024-04-20,2024-04-27,2024-05-04,2024-05-11,2024-05-18,2024-05-25,2024-06-01,2024-06-08,2024-06-15,2024-06-22,2024-06-29
42,,,,,,,,,,,,,,,H. STTRATNER,H. STTRATNER,H. STTRATNER,Guaraciaba Transmissora de Energia,GRUPO COMPONENTES (Opportunity) - Eletron,SONANGOL STARFISH,CHANNEL (EUROPRESTIGIO),OCEANEERING,GALP,F,F,CHANNEL (EUROPRESTIGIO),OCEANEERING,ARAGUAIA/DESIDERATA,PETRO CHINA,FERNANDES ARAÚJO,DILETTO (Sardinia Investimentos),CNOOC,ECOPETROL,TELEPAZIO BRASIL (Leonardo),EVER BRASIL ,JOTUN IND. TINTAS,OCEANEERING,OCEANEERING,,,,,,,,,,,F,F,
43,,,,,,,,,,,,,,,CNOOC,ITAGUAI (ICN),ITAGUAI (ICN),GME AEROSPACE,MANUCHAR,ITAGUAI (ICN),TELEPAZIO BRASIL (Leonardo),GLOBO - ED. GLOBO COND NAST,GLOBO - FAMILY OFFICE,F,F,GALP,GLOBO - ED. GLOBO COND NAST,,ARCHER,DILETTO (Sardinia Investimentos),DINACO,ECOPETROL,UNIVERSAL MUSICAL,GEOPARK,"CLARKE, MODET Y CIA. S.L. BRASIL",BIOMERIEUX,GLOBO - ED. GLOBO COND NAST,GLOBO - ED. GLOBO COND NAST,,,,,,,,,,,F,F,
44,,,,,,,,,,,,,,,ECOPETROL,CNOOC,CNOOC,GLOBO - FRM/C.FUTURA,Guaraciaba Transmissora de Energia,BIOMERIEUX,GALP,GEFCO,JOTUN IND. TINTAS,F,F,GLOBO - FAMILY OFFICE,GEFCO,,QUANTUM,DINACO,TULIP CAMPOS HOTELARIA,UNIVERSAL MUSICAL,FERNANDES ARAÚJO,SONANGOL STARFISH,Fundação Euclides da Cunha,COMSHELL SOC PREV. PRIVADA,GEFCO,GEFCO,,,,,,,,,,,F,F,
45,,,,,,,,,,,,,,,UNIVERSAL MUSICAL,ECOPETROL,BIOMERIEUX,KOMPASS ENERGIA,GME AEROSPACE,GRUPO COMPONENTES (Opportunity) - Eletron,SONANGOL STARFISH,Orthopride (PRKS),COMSHELL SOC PREV. PRIVADA,F,F,JOTUN IND. TINTAS,Orthopride (PRKS),,INSTITUTO DA CRIANÇA,TULIP CAMPOS HOTELARIA,ESSECO DO BRASIL,FERNANDES ARAÚJO,DILETTO (Sardinia Investimentos),H. STTRATNER,GREEN OIL,GRUPO COMPONENTES (Opportunity) - Eletron,Orthopride (PRKS),Orthopride (PRKS),,,,,,,,,,,F,F,
46,,,,,,,,,,,,,,,FERNANDES ARAÚJO,UNIVERSAL MUSICAL,GRUPO COMPONENTES (Opportunity) - Eletron,EVER BRASIL ,GLOBO - FRM/C.FUTURA,MANUCHAR,GLOBO - FAMILY OFFICE,AXXON (RHMED),NEW WAVE,F,F,COMSHELL SOC PREV. PRIVADA,QV SAUDE,,CALEFFI BRASIL AUP,PETRO CHINA,SuaTV e Influency.me,DILETTO (Sardinia Investimentos),DINACO,ITAGUAI (ICN),GLOBO - AERO RIO,NEW WAVE,AXXON (RHMED),AXXON (RHMED),,,,,,,,,,,F,F,
47,,,,,,,,,,,,,,,DILETTO (Sardinia Investimentos),FERNANDES ARAÚJO,MANUCHAR,"CLARKE, MODET Y CIA. S.L. BRASIL",AXXON (RHMED),Guaraciaba Transmissora de Energia,ITAGUAI (ICN),OMPI DO BRASIL ,OCEANEERING,F,F,NEW WAVE,OMPI DO BRASIL ,,,ARCHER,STEAG,DINACO,TULIP CAMPOS HOTELARIA,CNOOC,TI LATAM AUP,MANUCHAR,OMPI DO BRASIL ,OMPI DO BRASIL ,,,,,,,,,,,F,F,
48,,,,,,,,,,,,,,,DINACO,DILETTO (Sardinia Investimentos),Guaraciaba Transmissora de Energia,Fundação Euclides da Cunha,VITOL,GME AEROSPACE,JOTUN IND. TINTAS,HI MIDIA,GEFCO,F,F,OCEANEERING,HI MIDIA,,,QUANTUM,MARLIN AZUL,TULIP CAMPOS HOTELARIA,QV SAUDE,BIOMERIEUX,,OCEANEERING,HI MIDIA,HI MIDIA,,,,,,,,,,,F,F,
49,,,,,,,,,,,,,,,KOMPASS ENERGIA,DINACO,GME AEROSPACE,GREEN OIL,ALLSEAS,GLOBO - FRM/C.FUTURA,GLOBO - ED. GLOBO COND NAST,UFI Filter,Orthopride (PRKS),F,F,GLOBO - ED. GLOBO COND NAST,UFI Filter,,,CONFIANCE MEDICAL,CONFIANCE MEDICAL,QV SAUDE,ESSECO DO BRASIL,ECOPETROL,,Guaraciaba Transmissora de Energia,UFI Filter,UFI Filter,,,,,,,,,,,F,F,
50,,,,,,,,,,,,,,,ESSECO DO BRASIL,KOMPASS ENERGIA,KOMPASS ENERGIA,FAZENDA FUTURO,,AXXON (RHMED),GLOBO - FRM/C.FUTURA,FUNDO PATRIMONIAL RJZ,FUNDO PATRIMONIAL RJZ,F,F,Orthopride (PRKS),INSTITUTO DA CRIANÇA,,,CALEFFI BRASIL AUP,Planeta / DeAgostini,ESSECO DO BRASIL,PETRO CHINA,GRUPO COMPONENTES (Opportunity) - Eletron,,GLOBO - ED. GLOBO COND NAST,FUNDO PATRIMONIAL RJZ,FUNDO PATRIMONIAL RJZ,,,,,,,,,,,F,F,
51,,,,,,,,,,,,,,,SuaTV e Influency.me,GLOBO - AERO RIO,FAZENDA FUTURO,ALLSEAS,,EVER BRASIL ,AXXON (RHMED),NAVAL GROUP,Geogas,F,F,Geogas,ARAGUAIA/DESIDERATA,,,,,PETRO CHINA,SuaTV e Influency.me,UNIVERSAL MUSICAL,,GME AEROSPACE,FAZENDA FUTURO,FAZENDA FUTURO,,,,,,,,,,,F,F,
52,,,,,,,,,,,,,,,STEAG,TI LATAM AUP,TI LATAM AUP,,,"CLARKE, MODET Y CIA. S.L. BRASIL",NAVAL GROUP,,,F,F,,,,,,,SuaTV e Influency.me,ARCHER,MANUCHAR,,GEFCO,ALLSEAS,ALLSEAS,,,,,,,,,,,F,F,
53,,,,,,,,,,,,,,,MARLIN AZUL,,,,,Fundação Euclides da Cunha,COCA COLA INSTITUTO,,,F,F,,,,,,,ARCHER,STEAG,FERNANDES ARAÚJO,,GLOBO - FRM/C.FUTURA,,,,,,,,,,,,,F,F,
54,,,,,,,,,,,,,,,GLOBO - AERO RIO,,,,,GREEN OIL,,,,F,F,,,,,,,STEAG,QUANTUM,Guaraciaba Transmissora de Energia,,Orthopride (PRKS),,,,,,,,,,,,,F,F,
55,,,,,,,,,,,,,,,Planeta / DeAgostini,,,,,VITOL,,,,F,F,,,,,,,QUANTUM,MARLIN AZUL,DILETTO (Sardinia Investimentos),,KOMPASS ENERGIA,,,,,,,,,,,,,F,F,
56,,,,,,,,,,,,,,,,,,,,COCA COLA INSTITUTO,,,,F,F,,,,,,,MARLIN AZUL,INSTITUTO DA CRIANÇA,GME AEROSPACE,,AXXON (RHMED),,,,,,,,,,,,,F,F,
57,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,INSTITUTO DA CRIANÇA,CONFIANCE MEDICAL,DINACO,,EVER BRASIL ,,,,,,,,,,,,,F,F,
58,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,CONFIANCE MEDICAL,VITOL,GLOBO - FRM/C.FUTURA,,OMPI DO BRASIL ,,,,,,,,,,,,,F,F,
59,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,VITOL,NAVAL GROUP,TULIP CAMPOS HOTELARIA,,"CLARKE, MODET Y CIA. S.L. BRASIL",,,,,,,,,,,,,F,F,
60,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,NAVAL GROUP,Geogas,KOMPASS ENERGIA,,HI MIDIA,,,,,,,,,,,,,F,F,
61,,,,,,,,,,,,,,,,,,,,,,,,F,F,,,,,,,Geogas,ARAGUAIA/DESIDERATA,QV SAUDE,,Fundação Euclides da Cunha,,,,,,,,,,,,,F,F,
