Client Name,Nome Retain,"Renovacao 
prevista para o FY23?","FY24 
Total hours ",Hours (assurance),Deadline,Tem trimestral ?
FERNANDES ARAÚJO,FERNANDES ARAÚJO, Yes ,800,600,Jun,No
Guaraciaba Transmissora de Energia,MTE, Yes ,791,633,Fev,Yes
GLOBO - ED. GLOBO COND NAST,COND NAST, Yes ,750,600,Mar,No
DILETTO (Sardinia Investimentos),DILETTO (Sardinia Investimentos), Yes ,750,600,Abr,No
GME AEROSPACE,GME, Yes ,700,560,Mar,No
GEFCO,GEFCO, Yes ,700,700,Off peak,No
DINACO,DINACO, Yes ,700,560,Mar,No
GLOBO - FRM/C.FUTURA,FRM, Yes ,680,510,Mar,No
Orthopride (PRKS),PRKS, Yes ,638,450,Mar,No
TULIP CAMPOS HOTELARIA,TULIP, Yes ,620,400,Mai,No
KOMPASS ENERGIA,KOMPASS, Yes ,600,480,Mar,No
AXXON (RHMED),RHMED, Yes ,600,520,Fev,No
QV SAUDE,QV SAUDE, Yes ,500,400,Mai,No
ESSECO DO BRASIL,ESSECO,Yes,500,400,Abr,No
EVER BRASIL ,EVER, Yes ,500,400,Abr,No
OMPI DO BRASIL ,OMPI, Yes ,500,400,Mar,No
PETRO CHINA,PETRO CHINA, Yes ,500,400,Mar,No
SuaTV e Influency.me,SUA TV, Yes ,500,500,Abr,No
"CLARKE, MODET Y CIA. S.L. BRASIL",CLARK MODET, Yes ,500,400,Fev,No
HI MIDIA,HI MIDIA, Yes ,500,400,Mar,No
ARCHER,ARCHER, Yes ,450,450,Ago,No
STEAG,STEAG, Yes ,449,359,Mar,No
Fundação Euclides da Cunha,FEC, Yes ,440,352,Abr,No
UFI Filter,UFI,Yes,400,280,Mar,No
QUANTUM,QUANTUM, Yes ,400,400,Mar,No
MARLIN AZUL,MARLIN, Yes ,400,320,Fev,No
GREEN OIL,GREEN OIL, Yes ,400,320,Mar,No
FUNDO PATRIMONIAL RJZ,FUNDO PATRIMONIAL RJZ, Yes ,350,280,Abr,No
INSTITUTO DA CRIANÇA,INST CRIANCA, Yes ,350,280,Mai,No
CONFIANCE MEDICAL,CONFIANCE, Yes ,350,280,Mar,No
GLOBO - AERO RIO,AERO RIO, Yes ,330,264,Fev,No
FAZENDA FUTURO,FUTURE FARM, Yes ,316,253,Mai,No
VITOL,VITOL, Yes ,310,248,Abr,No
NAVAL GROUP,NAVAL, Yes ,300,240,Mar,No
Geogas,GEOGAS, Yes ,300,270,Mai,No
ARAGUAIA/DESIDERATA,ARAGUAIA/DESIDERATA, Yes ,280,224,Abr,No
CALEFFI BRASIL AUP,CALEFFI,Yes,250,200,Fev,No
Planeta / DeAgostini,DE AGOSTINI,Yes,250,200,Mar,No
TI LATAM AUP,TIM,Yes,250,200,Abr,No
ALLSEAS,Allseas, Yes ,200,160,Jun,No
COCA COLA INSTITUTO,COCA, Yes ,180,50,Abr,No
